words,positive,negative
a+,1,0
abound,1,0
abounds,1,0
abundance,1,0
abundant,1,0
accessable,1,0
accessible,1,0
acclaim,1,0
acclaimed,1,0
acclamation,1,0
accolade,1,0
accolades,1,0
accommodative,1,0
accomodative,1,0
accomplish,1,0
accomplished,1,0
accomplishment,1,0
accomplishments,1,0
accurate,1,0
accurately,1,0
achievable,1,0
achievement,1,0
achievements,1,0
achievible,1,0
acumen,1,0
adaptable,1,0
adaptive,1,0
adequate,1,0
adjustable,1,0
admirable,1,0
admirably,1,0
admiration,1,0
admire,1,0
admirer,1,0
admiring,1,0
admiringly,1,0
adorable,1,0
adore,1,0
adored,1,0
adorer,1,0
adoring,1,0
adoringly,1,0
adroit,1,0
adroitly,1,0
adulate,1,0
adulation,1,0
adulatory,1,0
advanced,1,0
advantage,1,0
advantageous,1,0
advantageously,1,0
advantages,1,0
adventuresome,1,0
adventurous,1,0
advocate,1,0
advocated,1,0
advocates,1,0
affability,1,0
affable,1,0
affably,1,0
affectation,1,0
affection,1,0
affectionate,1,0
affinity,1,0
affirm,1,0
affirmation,1,0
affirmative,1,0
affluence,1,0
affluent,1,0
afford,1,0
affordable,1,0
affordably,1,0
afordable,1,0
agile,1,0
agilely,1,0
agility,1,0
agreeable,1,0
agreeableness,1,0
agreeably,1,0
all-around,1,0
alluring,1,0
alluringly,1,0
altruistic,1,0
altruistically,1,0
amaze,1,0
amazed,1,0
amazement,1,0
amazes,1,0
amazing,1,0
amazingly,1,0
ambitious,1,0
ambitiously,1,0
ameliorate,1,0
amenable,1,0
amenity,1,0
amiability,1,0
amiabily,1,0
amiable,1,0
amicability,1,0
amicable,1,0
amicably,1,0
amity,1,0
ample,1,0
amply,1,0
amuse,1,0
amusing,1,0
amusingly,1,0
angel,1,0
angelic,1,0
apotheosis,1,0
appeal,1,0
appealing,1,0
applaud,1,0
appreciable,1,0
appreciate,1,0
appreciated,1,0
appreciates,1,0
appreciative,1,0
appreciatively,1,0
appropriate,1,0
approval,1,0
approve,1,0
ardent,1,0
ardently,1,0
ardor,1,0
articulate,1,0
aspiration,1,0
aspirations,1,0
aspire,1,0
assurance,1,0
assurances,1,0
assure,1,0
assuredly,1,0
assuring,1,0
astonish,1,0
astonished,1,0
astonishing,1,0
astonishingly,1,0
astonishment,1,0
astound,1,0
astounded,1,0
astounding,1,0
astoundingly,1,0
astutely,1,0
attentive,1,0
attraction,1,0
attractive,1,0
attractively,1,0
attune,1,0
audible,1,0
audibly,1,0
auspicious,1,0
authentic,1,0
authoritative,1,0
autonomous,1,0
available,1,0
aver,1,0
avid,1,0
avidly,1,0
award,1,0
awarded,1,0
awards,1,0
awe,1,0
awed,1,0
awesome,1,0
awesomely,1,0
awesomeness,1,0
awestruck,1,0
awsome,1,0
backbone,1,0
balanced,1,0
bargain,1,0
beauteous,1,0
beautiful,1,0
beautifullly,1,0
beautifully,1,0
beautify,1,0
beauty,1,0
beckon,1,0
beckoned,1,0
beckoning,1,0
beckons,1,0
believable,1,0
believeable,1,0
beloved,1,0
benefactor,1,0
beneficent,1,0
beneficial,1,0
beneficially,1,0
beneficiary,1,0
benefit,1,0
benefits,1,0
benevolence,1,0
benevolent,1,0
benifits,1,0
best,1,0
best-known,1,0
best-performing,1,0
best-selling,1,0
better,1,0
better-known,1,0
better-than-expected,1,0
beutifully,1,0
blameless,1,0
bless,1,0
blessing,1,0
bliss,1,0
blissful,1,0
blissfully,1,0
blithe,1,0
blockbuster,1,0
bloom,1,0
blossom,1,0
bolster,1,0
bonny,1,0
bonus,1,0
bonuses,1,0
boom,1,0
booming,1,0
boost,1,0
boundless,1,0
bountiful,1,0
brainiest,1,0
brainy,1,0
brand-new,1,0
brave,1,0
bravery,1,0
bravo,1,0
breakthrough,1,0
breakthroughs,1,0
breathlessness,1,0
breathtaking,1,0
breathtakingly,1,0
breeze,1,0
bright,1,0
brighten,1,0
brighter,1,0
brightest,1,0
brilliance,1,0
brilliances,1,0
brilliant,1,0
brilliantly,1,0
brisk,1,0
brotherly,1,0
bullish,1,0
buoyant,1,0
cajole,1,0
calm,1,0
calming,1,0
calmness,1,0
capability,1,0
capable,1,0
capably,1,0
captivate,1,0
captivating,1,0
carefree,1,0
cashback,1,0
cashbacks,1,0
catchy,1,0
celebrate,1,0
celebrated,1,0
celebration,1,0
celebratory,1,0
champ,1,0
champion,1,0
charisma,1,0
charismatic,1,0
charitable,1,0
charm,1,0
charming,1,0
charmingly,1,0
chaste,1,0
cheaper,1,0
cheapest,1,0
cheer,1,0
cheerful,1,0
cheery,1,0
cherish,1,0
cherished,1,0
cherub,1,0
chic,1,0
chivalrous,1,0
chivalry,1,0
civility,1,0
civilize,1,0
clarity,1,0
classic,1,0
classy,1,0
clean,1,0
cleaner,1,0
cleanest,1,0
cleanliness,1,0
cleanly,1,0
clear,1,0
clear-cut,1,0
cleared,1,0
clearer,1,0
clearly,1,0
clears,1,0
clever,1,0
cleverly,1,0
cohere,1,0
coherence,1,0
coherent,1,0
cohesive,1,0
colorful,1,0
comely,1,0
comfort,1,0
comfortable,1,0
comfortably,1,0
comforting,1,0
comfy,1,0
commend,1,0
commendable,1,0
commendably,1,0
commitment,1,0
commodious,1,0
compact,1,0
compactly,1,0
compassion,1,0
compassionate,1,0
compatible,1,0
competitive,1,0
complement,1,0
complementary,1,0
complemented,1,0
complements,1,0
compliant,1,0
compliment,1,0
complimentary,1,0
comprehensive,1,0
conciliate,1,0
conciliatory,1,0
concise,1,0
confidence,1,0
confident,1,0
congenial,1,0
congratulate,1,0
congratulation,1,0
congratulations,1,0
congratulatory,1,0
conscientious,1,0
considerate,1,0
consistent,1,0
consistently,1,0
constructive,1,0
consummate,1,0
contentment,1,0
continuity,1,0
contrasty,1,0
contribution,1,0
convenience,1,0
convenient,1,0
conveniently,1,0
convience,1,0
convienient,1,0
convient,1,0
convincing,1,0
convincingly,1,0
cool,1,0
coolest,1,0
cooperative,1,0
cooperatively,1,0
cornerstone,1,0
correct,1,0
correctly,1,0
cost-effective,1,0
cost-saving,1,0
counter-attack,1,0
counter-attacks,1,0
courage,1,0
courageous,1,0
courageously,1,0
courageousness,1,0
courteous,1,0
courtly,1,0
covenant,1,0
cozy,1,0
creative,1,0
credence,1,0
credible,1,0
crisp,1,0
crisper,1,0
cure,1,0
cure-all,1,0
cushy,1,0
cute,1,0
cuteness,1,0
danke,1,0
danken,1,0
daring,1,0
daringly,1,0
darling,1,0
dashing,1,0
dauntless,1,0
dawn,1,0
dazzle,1,0
dazzled,1,0
dazzling,1,0
dead-cheap,1,0
dead-on,1,0
decency,1,0
decent,1,0
decisive,1,0
decisiveness,1,0
dedicated,1,0
defeat,1,0
defeated,1,0
defeating,1,0
defeats,1,0
defender,1,0
deference,1,0
deft,1,0
deginified,1,0
delectable,1,0
delicacy,1,0
delicate,1,0
delicious,1,0
delight,1,0
delighted,1,0
delightful,1,0
delightfully,1,0
delightfulness,1,0
dependable,1,0
dependably,1,0
deservedly,1,0
deserving,1,0
desirable,1,0
desiring,1,0
desirous,1,0
destiny,1,0
detachable,1,0
devout,1,0
dexterous,1,0
dexterously,1,0
dextrous,1,0
dignified,1,0
dignify,1,0
dignity,1,0
diligence,1,0
diligent,1,0
diligently,1,0
diplomatic,1,0
dirt-cheap,1,0
distinction,1,0
distinctive,1,0
distinguished,1,0
diversified,1,0
divine,1,0
divinely,1,0
dominate,1,0
dominated,1,0
dominates,1,0
dote,1,0
dotingly,1,0
doubtless,1,0
dreamland,1,0
dumbfounded,1,0
dumbfounding,1,0
dummy-proof,1,0
durable,1,0
dynamic,1,0
eager,1,0
eagerly,1,0
eagerness,1,0
earnest,1,0
earnestly,1,0
earnestness,1,0
ease,1,0
eased,1,0
eases,1,0
easier,1,0
easiest,1,0
easiness,1,0
easing,1,0
easy,1,0
easy-to-use,1,0
easygoing,1,0
ebullience,1,0
ebullient,1,0
ebulliently,1,0
ecenomical,1,0
economical,1,0
ecstasies,1,0
ecstasy,1,0
ecstatic,1,0
ecstatically,1,0
edify,1,0
educated,1,0
effective,1,0
effectively,1,0
effectiveness,1,0
effectual,1,0
efficacious,1,0
efficient,1,0
efficiently,1,0
effortless,1,0
effortlessly,1,0
effusion,1,0
effusive,1,0
effusively,1,0
effusiveness,1,0
elan,1,0
elate,1,0
elated,1,0
elatedly,1,0
elation,1,0
electrify,1,0
elegance,1,0
elegant,1,0
elegantly,1,0
elevate,1,0
elite,1,0
eloquence,1,0
eloquent,1,0
eloquently,1,0
embolden,1,0
eminence,1,0
eminent,1,0
empathize,1,0
empathy,1,0
empower,1,0
empowerment,1,0
enchant,1,0
enchanted,1,0
enchanting,1,0
enchantingly,1,0
encourage,1,0
encouragement,1,0
encouraging,1,0
encouragingly,1,0
endear,1,0
endearing,1,0
endorse,1,0
endorsed,1,0
endorsement,1,0
endorses,1,0
endorsing,1,0
energetic,1,0
energize,1,0
energy-efficient,1,0
energy-saving,1,0
engaging,1,0
engrossing,1,0
enhance,1,0
enhanced,1,0
enhancement,1,0
enhances,1,0
enjoy,1,0
enjoyable,1,0
enjoyably,1,0
enjoyed,1,0
enjoying,1,0
enjoyment,1,0
enjoys,1,0
enlighten,1,0
enlightenment,1,0
enliven,1,0
ennoble,1,0
enough,1,0
enrapt,1,0
enrapture,1,0
enraptured,1,0
enrich,1,0
enrichment,1,0
enterprising,1,0
entertain,1,0
entertaining,1,0
entertains,1,0
enthral,1,0
enthrall,1,0
enthralled,1,0
enthuse,1,0
enthusiasm,1,0
enthusiast,1,0
enthusiastic,1,0
enthusiastically,1,0
entice,1,0
enticed,1,0
enticing,1,0
enticingly,1,0
entranced,1,0
entrancing,1,0
entrust,1,0
enviable,1,0
enviably,1,0
envious,1,0
enviously,1,0
enviousness,1,0
envy,1,0
equitable,1,0
ergonomical,1,0
err-free,1,0
erudite,1,0
ethical,1,0
eulogize,1,0
euphoria,1,0
euphoric,1,0
euphorically,1,0
evaluative,1,0
evenly,1,0
eventful,1,0
everlasting,1,0
evocative,1,0
exalt,1,0
exaltation,1,0
exalted,1,0
exaltedly,1,0
exalting,1,0
exaltingly,1,0
examplar,1,0
examplary,1,0
excallent,1,0
exceed,1,0
exceeded,1,0
exceeding,1,0
exceedingly,1,0
exceeds,1,0
excel,1,0
exceled,1,0
excelent,1,0
excellant,1,0
excelled,1,0
excellence,1,0
excellency,1,0
excellent,1,0
excellently,1,0
excels,1,0
exceptional,1,0
exceptionally,1,0
excite,1,0
excited,1,0
excitedly,1,0
excitedness,1,0
excitement,1,0
excites,1,0
exciting,1,0
excitingly,1,0
exellent,1,0
exemplar,1,0
exemplary,1,0
exhilarate,1,0
exhilarating,1,0
exhilaratingly,1,0
exhilaration,1,0
exonerate,1,0
expansive,1,0
expeditiously,1,0
expertly,1,0
exquisite,1,0
exquisitely,1,0
extol,1,0
extoll,1,0
extraordinarily,1,0
extraordinary,1,0
exuberance,1,0
exuberant,1,0
exuberantly,1,0
exult,1,0
exultant,1,0
exultation,1,0
exultingly,1,0
eye-catch,1,0
eye-catching,1,0
eyecatch,1,0
eyecatching,1,0
fabulous,1,0
fabulously,1,0
facilitate,1,0
fair,1,0
fairly,1,0
fairness,1,0
faith,1,0
faithful,1,0
faithfully,1,0
faithfulness,1,0
fame,1,0
famed,1,0
famous,1,0
famously,1,0
fancier,1,0
fancinating,1,0
fancy,1,0
fanfare,1,0
fans,1,0
fantastic,1,0
fantastically,1,0
fascinate,1,0
fascinating,1,0
fascinatingly,1,0
fascination,1,0
fashionable,1,0
fashionably,1,0
fast,1,0
fast-growing,1,0
fast-paced,1,0
faster,1,0
fastest,1,0
fastest-growing,1,0
faultless,1,0
fav,1,0
fave,1,0
favor,1,0
favorable,1,0
favored,1,0
favorite,1,0
favorited,1,0
favour,1,0
fearless,1,0
fearlessly,1,0
feasible,1,0
feasibly,1,0
feat,1,0
feature-rich,1,0
fecilitous,1,0
feisty,1,0
felicitate,1,0
felicitous,1,0
felicity,1,0
fertile,1,0
fervent,1,0
fervently,1,0
fervid,1,0
fervidly,1,0
fervor,1,0
festive,1,0
fidelity,1,0
fiery,1,0
fine,1,0
fine-looking,1,0
finely,1,0
finer,1,0
finest,1,0
firmer,1,0
first-class,1,0
first-in-class,1,0
first-rate,1,0
flashy,1,0
flatter,1,0
flattering,1,0
flatteringly,1,0
flawless,1,0
flawlessly,1,0
flexibility,1,0
flexible,1,0
flourish,1,0
flourishing,1,0
fluent,1,0
flutter,1,0
fond,1,0
fondly,1,0
fondness,1,0
foolproof,1,0
foremost,1,0
foresight,1,0
formidable,1,0
fortitude,1,0
fortuitous,1,0
fortuitously,1,0
fortunate,1,0
fortunately,1,0
fortune,1,0
fragrant,1,0
free,1,0
freed,1,0
freedom,1,0
freedoms,1,0
fresh,1,0
fresher,1,0
freshest,1,0
friendliness,1,0
friendly,1,0
frolic,1,0
frugal,1,0
fruitful,1,0
ftw,1,0
fulfillment,1,0
fun,1,0
futurestic,1,0
futuristic,1,0
gaiety,1,0
gaily,1,0
gain,1,0
gained,1,0
gainful,1,0
gainfully,1,0
gaining,1,0
gains,1,0
gallant,1,0
gallantly,1,0
galore,1,0
geekier,1,0
geeky,1,0
gem,1,0
gems,1,0
generosity,1,0
generous,1,0
generously,1,0
genial,1,0
genius,1,0
gentle,1,0
gentlest,1,0
genuine,1,0
gifted,1,0
glad,1,0
gladden,1,0
gladly,1,0
gladness,1,0
glamorous,1,0
glee,1,0
gleeful,1,0
gleefully,1,0
glimmer,1,0
glimmering,1,0
glisten,1,0
glistening,1,0
glitter,1,0
glitz,1,0
glorify,1,0
glorious,1,0
gloriously,1,0
glory,1,0
glow,1,0
glowing,1,0
glowingly,1,0
god-given,1,0
god-send,1,0
godlike,1,0
godsend,1,0
gold,1,0
golden,1,0
good,1,0
goodly,1,0
goodness,1,0
goodwill,1,0
goood,1,0
gooood,1,0
gorgeous,1,0
gorgeously,1,0
grace,1,0
graceful,1,0
gracefully,1,0
gracious,1,0
graciously,1,0
graciousness,1,0
grand,1,0
grandeur,1,0
grateful,1,0
gratefully,1,0
gratification,1,0
gratified,1,0
gratifies,1,0
gratify,1,0
gratifying,1,0
gratifyingly,1,0
gratitude,1,0
great,1,0
greatest,1,0
greatness,1,0
grin,1,0
groundbreaking,1,0
guarantee,1,0
guidance,1,0
guiltless,1,0
gumption,1,0
gush,1,0
gusto,1,0
gutsy,1,0
hail,1,0
halcyon,1,0
hale,1,0
hallmark,1,0
hallmarks,1,0
hallowed,1,0
handier,1,0
handily,1,0
hands-down,1,0
handsome,1,0
handsomely,1,0
handy,1,0
happier,1,0
happily,1,0
happiness,1,0
happy,1,0
hard-working,1,0
hardier,1,0
hardy,1,0
harmless,1,0
harmonious,1,0
harmoniously,1,0
harmonize,1,0
harmony,1,0
headway,1,0
heal,1,0
healthful,1,0
healthy,1,0
hearten,1,0
heartening,1,0
heartfelt,1,0
heartily,1,0
heartwarming,1,0
heaven,1,0
heavenly,1,0
helped,1,0
helpful,1,0
helping,1,0
hero,1,0
heroic,1,0
heroically,1,0
heroine,1,0
heroize,1,0
heros,1,0
high-quality,1,0
high-spirited,1,0
hilarious,1,0
holy,1,0
homage,1,0
honest,1,0
honesty,1,0
honor,1,0
honorable,1,0
honored,1,0
honoring,1,0
hooray,1,0
hopeful,1,0
hospitable,1,0
hot,1,0
hotcake,1,0
hotcakes,1,0
hottest,1,0
hug,1,0
humane,1,0
humble,1,0
humility,1,0
humor,1,0
humorous,1,0
humorously,1,0
humour,1,0
humourous,1,0
ideal,1,0
idealize,1,0
ideally,1,0
idol,1,0
idolize,1,0
idolized,1,0
idyllic,1,0
illuminate,1,0
illuminati,1,0
illuminating,1,0
illumine,1,0
illustrious,1,0
ilu,1,0
imaculate,1,0
imaginative,1,0
immaculate,1,0
immaculately,1,0
immense,1,0
impartial,1,0
impartiality,1,0
impartially,1,0
impassioned,1,0
impeccable,1,0
impeccably,1,0
important,1,0
impress,1,0
impressed,1,0
impresses,1,0
impressive,1,0
impressively,1,0
impressiveness,1,0
improve,1,0
improved,1,0
improvement,1,0
improvements,1,0
improves,1,0
improving,1,0
incredible,1,0
incredibly,1,0
indebted,1,0
individualized,1,0
indulgence,1,0
indulgent,1,0
industrious,1,0
inestimable,1,0
inestimably,1,0
inexpensive,1,0
infallibility,1,0
infallible,1,0
infallibly,1,0
influential,1,0
ingenious,1,0
ingeniously,1,0
ingenuity,1,0
ingenuous,1,0
ingenuously,1,0
innocuous,1,0
innovation,1,0
innovative,1,0
inpressed,1,0
insightful,1,0
insightfully,1,0
inspiration,1,0
inspirational,1,0
inspire,1,0
inspiring,1,0
instantly,1,0
instructive,1,0
instrumental,1,0
integral,1,0
integrated,1,0
intelligence,1,0
intelligent,1,0
intelligible,1,0
interesting,1,0
interests,1,0
intimacy,1,0
intimate,1,0
intricate,1,0
intrigue,1,0
intriguing,1,0
intriguingly,1,0
intuitive,1,0
invaluable,1,0
invaluablely,1,0
inventive,1,0
invigorate,1,0
invigorating,1,0
invincibility,1,0
invincible,1,0
inviolable,1,0
inviolate,1,0
invulnerable,1,0
irreplaceable,1,0
irreproachable,1,0
irresistible,1,0
irresistibly,1,0
issue-free,1,0
jaw-droping,1,0
jaw-dropping,1,0
jollify,1,0
jolly,1,0
jovial,1,0
joy,1,0
joyful,1,0
joyfully,1,0
joyous,1,0
joyously,1,0
jubilant,1,0
jubilantly,1,0
jubilate,1,0
jubilation,1,0
jubiliant,1,0
judicious,1,0
justly,1,0
keen,1,0
keenly,1,0
keenness,1,0
kid-friendly,1,0
kindliness,1,0
kindly,1,0
kindness,1,0
knowledgeable,1,0
kudos,1,0
large-capacity,1,0
laud,1,0
laudable,1,0
laudably,1,0
lavish,1,0
lavishly,1,0
law-abiding,1,0
lawful,1,0
lawfully,1,0
lead,1,0
leading,1,0
leads,1,0
lean,1,0
led,1,0
legendary,1,0
leverage,1,0
levity,1,0
liberate,1,0
liberation,1,0
liberty,1,0
lifesaver,1,0
light-hearted,1,0
lighter,1,0
likable,1,0
like,1,0
liked,1,0
likes,1,0
liking,1,0
lionhearted,1,0
lively,1,0
logical,1,0
long-lasting,1,0
lovable,1,0
lovably,1,0
love,1,0
loved,1,0
loveliness,1,0
lovely,1,0
lover,1,0
loves,1,0
loving,1,0
low-cost,1,0
low-price,1,0
low-priced,1,0
low-risk,1,0
lower-priced,1,0
loyal,1,0
loyalty,1,0
lucid,1,0
lucidly,1,0
luck,1,0
luckier,1,0
luckiest,1,0
luckiness,1,0
lucky,1,0
lucrative,1,0
luminous,1,0
lush,1,0
luster,1,0
lustrous,1,0
luxuriant,1,0
luxuriate,1,0
luxurious,1,0
luxuriously,1,0
luxury,1,0
lyrical,1,0
magic,1,0
magical,1,0
magnanimous,1,0
magnanimously,1,0
magnificence,1,0
magnificent,1,0
magnificently,1,0
majestic,1,0
majesty,1,0
manageable,1,0
maneuverable,1,0
marvel,1,0
marveled,1,0
marvelled,1,0
marvellous,1,0
marvelous,1,0
marvelously,1,0
marvelousness,1,0
marvels,1,0
master,1,0
masterful,1,0
masterfully,1,0
masterpiece,1,0
masterpieces,1,0
masters,1,0
mastery,1,0
matchless,1,0
mature,1,0
maturely,1,0
maturity,1,0
meaningful,1,0
memorable,1,0
merciful,1,0
mercifully,1,0
mercy,1,0
merit,1,0
meritorious,1,0
merrily,1,0
merriment,1,0
merriness,1,0
merry,1,0
mesmerize,1,0
mesmerized,1,0
mesmerizes,1,0
mesmerizing,1,0
mesmerizingly,1,0
meticulous,1,0
meticulously,1,0
mightily,1,0
mighty,1,0
mind-blowing,1,0
miracle,1,0
miracles,1,0
miraculous,1,0
miraculously,1,0
miraculousness,1,0
modern,1,0
modest,1,0
modesty,1,0
momentous,1,0
monumental,1,0
monumentally,1,0
morality,1,0
motivated,1,0
multi-purpose,1,0
navigable,1,0
neat,1,0
neatest,1,0
neatly,1,0
nice,1,0
nicely,1,0
nicer,1,0
nicest,1,0
nifty,1,0
nimble,1,0
noble,1,0
nobly,1,0
noiseless,1,0
non-violence,1,0
non-violent,1,0
notably,1,0
noteworthy,1,0
nourish,1,0
nourishing,1,0
nourishment,1,0
novelty,1,0
nurturing,1,0
oasis,1,0
obsession,1,0
obsessions,1,0
obtainable,1,0
openly,1,0
openness,1,0
optimal,1,0
optimism,1,0
optimistic,1,0
opulent,1,0
orderly,1,0
originality,1,0
outdo,1,0
outdone,1,0
outperform,1,0
outperformed,1,0
outperforming,1,0
outperforms,1,0
outshine,1,0
outshone,1,0
outsmart,1,0
outstanding,1,0
outstandingly,1,0
outstrip,1,0
outwit,1,0
ovation,1,0
overjoyed,1,0
overtake,1,0
overtaken,1,0
overtakes,1,0
overtaking,1,0
overtook,1,0
overture,1,0
pain-free,1,0
painless,1,0
painlessly,1,0
palatial,1,0
pamper,1,0
pampered,1,0
pamperedly,1,0
pamperedness,1,0
pampers,1,0
panoramic,1,0
paradise,1,0
paramount,1,0
pardon,1,0
passion,1,0
passionate,1,0
passionately,1,0
patience,1,0
patient,1,0
patiently,1,0
patriot,1,0
patriotic,1,0
peace,1,0
peaceable,1,0
peaceful,1,0
peacefully,1,0
peacekeepers,1,0
peach,1,0
peerless,1,0
pep,1,0
pepped,1,0
pepping,1,0
peppy,1,0
peps,1,0
perfect,1,0
perfection,1,0
perfectly,1,0
permissible,1,0
perseverance,1,0
persevere,1,0
personages,1,0
personalized,1,0
phenomenal,1,0
phenomenally,1,0
picturesque,1,0
piety,1,0
pinnacle,1,0
playful,1,0
playfully,1,0
pleasant,1,0
pleasantly,1,0
pleased,1,0
pleases,1,0
pleasing,1,0
pleasingly,1,0
pleasurable,1,0
pleasurably,1,0
pleasure,1,0
plentiful,1,0
pluses,1,0
plush,1,0
plusses,1,0
poetic,1,0
poeticize,1,0
poignant,1,0
poise,1,0
poised,1,0
polished,1,0
polite,1,0
politeness,1,0
popular,1,0
portable,1,0
posh,1,0
positive,1,0
positively,1,0
positives,1,0
powerful,1,0
powerfully,1,0
praise,1,0
praiseworthy,1,0
praising,1,0
pre-eminent,1,0
precious,1,0
precise,1,0
precisely,1,0
preeminent,1,0
prefer,1,0
preferable,1,0
preferably,1,0
prefered,1,0
preferes,1,0
preferring,1,0
prefers,1,0
premier,1,0
prestige,1,0
prestigious,1,0
prettily,1,0
pretty,1,0
priceless,1,0
pride,1,0
principled,1,0
